Date,Bid Close
12/31/2019,1517.01
12/30/2019,1515.123
12/27/2019,1510.4167
12/26/2019,1511.2979
12/25/2019,1498.6
12/24/2019,1498.81
12/23/2019,1485.27
12/20/2019,1477.9497
12/19/2019,1479.0472
12/18/2019,1475.1862
12/17/2019,1476.2
12/16/2019,1476.0013
12/13/2019,1475.5586
12/12/2019,1469.33
12/11/2019,1474.75
12/10/2019,1463.96
12/9/2019,1461.89
12/6/2019,1459.5071
12/5/2019,1475.6029
12/4/2019,1474.1
12/3/2019,1477.241
12/2/2019,1462.34
11/29/2019,1463.9
11/28/2019,1458.0917
11/27/2019,1454.25
11/26/2019,1461.2
11/25/2019,1454.8738
11/22/2019,1462.04
11/21/2019,1464.15
11/20/2019,1471.1514
11/19/2019,1472.2814
11/18/2019,1470.7528
11/15/2019,1467.1169
11/14/2019,1470.95
11/13/2019,1462.9354
11/12/2019,1456.9449
11/11/2019,1455.6505
11/8/2019,1458.407
11/7/2019,1467.8219
11/6/2019,1490.3621
11/5/2019,1484
11/4/2019,1509.2367
11/1/2019,1513.55
10/31/2019,1513.16
10/30/2019,1495.2
10/29/2019,1487.4
10/28/2019,1492.4449
10/25/2019,1504.33
10/24/2019,1503.25
10/23/2019,1491.85
10/22/2019,1487.65
10/21/2019,1484.25
10/18/2019,1489.7
10/17/2019,1491.64
10/16/2019,1489.37
10/15/2019,1480.92
10/14/2019,1492.8
10/11/2019,1489.45
10/10/2019,1494
10/9/2019,1505.3
10/8/2019,1505.26
10/7/2019,1493.35
10/4/2019,1504.35
10/3/2019,1504.75
10/2/2019,1499.26
10/1/2019,1478.58
9/30/2019,1472
9/27/2019,1496.56
9/26/2019,1505.6
9/25/2019,1503.75
9/24/2019,1531.8
9/23/2019,1521.865
9/20/2019,1516.75
9/19/2019,1499
9/18/2019,1493.65
9/17/2019,1502.2
9/16/2019,1497.9
9/13/2019,1488.45
9/12/2019,1498.7
9/11/2019,1497.3
9/10/2019,1485.5
9/9/2019,1498.65
9/6/2019,1506.7
9/5/2019,1519.1
9/4/2019,1552.35
9/3/2019,1546.7
9/2/2019,1530.34
8/30/2019,1519.85
8/29/2019,1527.4
8/28/2019,1538.8
8/27/2019,1542.395
8/26/2019,1526
8/23/2019,1526.1
8/22/2019,1498.6
8/21/2019,1502
8/20/2019,1506.85
8/19/2019,1495
8/16/2019,1513.75
8/15/2019,1522.955
8/14/2019,1516.085
8/13/2019,1501.14
8/12/2019,1511.155
8/9/2019,1496.84
8/8/2019,1500
8/7/2019,1500.8
8/6/2019,1473.87
8/5/2019,1463.6
8/2/2019,1440.455
8/1/2019,1445.0551
7/31/2019,1413.55
7/30/2019,1430.6
7/29/2019,1426.6851
7/26/2019,1418.31
7/25/2019,1414.13
7/24/2019,1425.8
7/23/2019,1416.99
7/22/2019,1424.72
7/19/2019,1424.91
7/18/2019,1446
7/17/2019,1426.6
7/16/2019,1405.93
7/15/2019,1413.68
7/12/2019,1415.495
7/11/2019,1403.6
7/10/2019,1418.8
7/9/2019,1397.8
7/8/2019,1395.2
7/5/2019,1399.55
7/4/2019,1415.19
7/3/2019,1418.54
7/2/2019,1418.1949
7/1/2019,1384.0649
6/28/2019,1409.1
6/27/2019,1409.28
6/26/2019,1408.35
6/25/2019,1422.85
6/24/2019,1419.15
6/21/2019,1398.65
6/20/2019,1387.78
6/19/2019,1359.87
6/18/2019,1346.08
6/17/2019,1339.285
6/14/2019,1341.33
6/13/2019,1341.95
6/12/2019,1333.16
6/11/2019,1326.6625
6/10/2019,1327.73
6/7/2019,1340.3
6/6/2019,1334.8
6/5/2019,1329.78
6/4/2019,1324.88
